    µm         	 V
1.000005e+000	-6.712500e-001
9.990284e-001	-6.727500e-001
9.980519e-001	-6.720000e-001
9.970753e-001	-6.746250e-001
9.960987e-001	-6.735000e-001
9.951222e-001	-6.753750e-001
9.941456e-001	-6.757500e-001
9.931690e-001	-6.772500e-001
9.921924e-001	-6.783750e-001
9.912159e-001	-6.783750e-001
9.902393e-001	-6.791250e-001
9.892627e-001	-6.795000e-001
9.882862e-001	-6.813750e-001
9.873096e-001	-6.813750e-001
9.863330e-001	-6.825000e-001
9.853565e-001	-6.832500e-001
9.843799e-001	-6.836250e-001
9.834033e-001	-6.851250e-001
9.824267e-001	-6.847500e-001
9.814502e-001	-6.866250e-001
9.804736e-001	-6.866250e-001
9.794970e-001	-6.881250e-001
9.785205e-001	-6.892500e-001
9.775439e-001	-6.896250e-001
9.765673e-001	-6.907500e-001
9.755908e-001	-6.907500e-001
9.746142e-001	-6.918750e-001
9.736376e-001	-6.926250e-001
9.726610e-001	-6.937500e-001
9.716845e-001	-6.941250e-001
9.707079e-001	-6.956250e-001
9.697313e-001	-6.948750e-001
9.687548e-001	-6.960000e-001
9.677782e-001	-6.975000e-001
9.668016e-001	-6.986250e-001
9.658251e-001	-6.982500e-001
9.648485e-001	-6.993750e-001
9.638719e-001	-7.005000e-001
9.628953e-001	-7.016250e-001
9.619188e-001	-7.027500e-001
9.609422e-001	-7.023750e-001
9.599656e-001	-7.038750e-001
9.589891e-001	-7.042500e-001
9.580125e-001	-7.057500e-001
9.570359e-001	-7.050000e-001
9.560594e-001	-7.068750e-001
9.550828e-001	-7.076250e-001
9.541062e-001	-7.091250e-001
9.531296e-001	-7.091250e-001
9.521531e-001	-7.102500e-001
9.511765e-001	-7.102500e-001
9.501999e-001	-7.117500e-001
9.492234e-001	-7.128750e-001
9.482468e-001	-7.128750e-001
9.472702e-001	-7.140000e-001
9.462937e-001	-7.151250e-001
9.453171e-001	-7.151250e-001
9.443405e-001	-7.162500e-001
9.433639e-001	-7.173750e-001
9.423874e-001	-7.185000e-001
9.414108e-001	-7.188750e-001
9.404342e-001	-7.203750e-001
9.394577e-001	-7.196250e-001
9.384811e-001	-7.211250e-001
9.375045e-001	-7.218750e-001
9.365280e-001	-7.237500e-001
9.355514e-001	-7.230000e-001
9.345748e-001	-7.248750e-001
9.335982e-001	-7.252500e-001
9.326217e-001	-7.263750e-001
9.316451e-001	-7.278750e-001
9.306685e-001	-7.275000e-001
9.296920e-001	-7.290000e-001
9.287154e-001	-7.293750e-001
9.277388e-001	-7.301250e-001
9.267623e-001	-7.305000e-001
9.257857e-001	-7.320000e-001
9.248091e-001	-7.323750e-001
9.238325e-001	-7.323750e-001
9.228560e-001	-7.346250e-001
9.218794e-001	-7.342500e-001
9.209028e-001	-7.357500e-001
9.199263e-001	-7.357500e-001
9.189497e-001	-7.372500e-001
9.179731e-001	-7.372500e-001
9.169966e-001	-7.395000e-001
9.160200e-001	-7.387500e-001
9.150434e-001	-7.402500e-001
9.140668e-001	-7.413750e-001
9.130903e-001	-7.421250e-001
9.121137e-001	-7.421250e-001
9.111371e-001	-7.440000e-001
9.101606e-001	-7.440000e-001
9.091840e-001	-7.451250e-001
9.082074e-001	-7.462500e-001
9.072309e-001	-7.473750e-001
9.062543e-001	-7.473750e-001
9.052777e-001	-7.488750e-001
9.043011e-001	-7.488750e-001
9.033246e-001	-7.492500e-001
9.023480e-001	-7.511250e-001
9.013714e-001	-7.522500e-001
9.003949e-001	-7.530000e-001
8.994183e-001	-7.522500e-001
8.984417e-001	-7.541250e-001
8.974652e-001	-7.537500e-001
8.964886e-001	-7.560000e-001
8.955120e-001	-7.563750e-001
8.945354e-001	-7.575000e-001
8.935589e-001	-7.578750e-001
8.925823e-001	-7.590000e-001
8.916057e-001	-7.590000e-001
8.906292e-001	-7.608750e-001
8.896526e-001	-7.612500e-001
8.886760e-001	-7.612500e-001
8.876995e-001	-7.620000e-001
8.867229e-001	-7.638750e-001
8.857463e-001	-7.638750e-001
8.847697e-001	-7.653750e-001
8.837932e-001	-7.657500e-001
8.828166e-001	-7.665000e-001
8.818400e-001	-7.668750e-001
8.808635e-001	-7.687500e-001
8.798869e-001	-7.683750e-001
8.789103e-001	-7.698750e-001
8.779338e-001	-7.713750e-001
8.769572e-001	-7.702500e-001
8.759806e-001	-7.721250e-001
8.750040e-001	-7.736250e-001
8.740275e-001	-7.743750e-001
8.730509e-001	-7.740000e-001
8.720743e-001	-7.755000e-001
8.710978e-001	-7.755000e-001
8.701212e-001	-7.758750e-001
8.691446e-001	-7.785000e-001
8.681681e-001	-7.781250e-001
8.671915e-001	-7.792500e-001
8.662149e-001	-7.800000e-001
8.652383e-001	-7.807500e-001
8.642618e-001	-7.815000e-001
8.632852e-001	-7.822500e-001
8.623086e-001	-7.833750e-001
8.613321e-001	-7.833750e-001
8.603555e-001	-7.848750e-001
8.593789e-001	-7.860000e-001
8.584024e-001	-7.863750e-001
8.574258e-001	-7.875000e-001
8.564492e-001	-7.897500e-001
8.554726e-001	-7.882500e-001
8.544961e-001	-7.901250e-001
8.535195e-001	-7.893750e-001
8.525429e-001	-7.912500e-001
8.515664e-001	-7.927500e-001
8.505898e-001	-7.931250e-001
8.496132e-001	-7.931250e-001
8.486367e-001	-7.938750e-001
8.476601e-001	-7.953750e-001
8.466835e-001	-7.961250e-001
8.457069e-001	-7.968750e-001
8.447304e-001	-7.976250e-001
8.437538e-001	-7.987500e-001
8.427772e-001	-7.983750e-001
8.418007e-001	-8.002500e-001
8.408241e-001	-8.002500e-001
8.398475e-001	-8.021250e-001
8.388710e-001	-8.025000e-001
8.378944e-001	-8.021250e-001
8.369178e-001	-8.040000e-001
8.359413e-001	-8.047500e-001
8.349647e-001	-8.047500e-001
8.339881e-001	-8.055000e-001
8.330115e-001	-8.070000e-001
8.320350e-001	-8.073750e-001
8.310584e-001	-8.088750e-001
8.300818e-001	-8.088750e-001
8.291053e-001	-8.103750e-001
8.281287e-001	-8.107500e-001
8.271521e-001	-8.118750e-001
8.261756e-001	-8.122500e-001
8.251990e-001	-8.130000e-001
8.242224e-001	-8.141250e-001
8.232458e-001	-8.137500e-001
8.222693e-001	-8.152500e-001
8.212927e-001	-8.167500e-001
8.203161e-001	-8.167500e-001
8.193396e-001	-8.182500e-001
8.183630e-001	-8.190000e-001
8.173864e-001	-8.193750e-001
8.164099e-001	-8.201250e-001
8.154333e-001	-8.212500e-001
8.144567e-001	-8.208750e-001
8.134801e-001	-8.223750e-001
8.125036e-001	-8.238750e-001
8.115270e-001	-8.238750e-001
8.105504e-001	-8.246250e-001
8.095739e-001	-8.265000e-001
8.085973e-001	-8.257500e-001
8.076207e-001	-8.272500e-001
8.066442e-001	-8.283750e-001
8.056676e-001	-8.291250e-001
8.046910e-001	-8.302500e-001
8.037144e-001	-8.310000e-001
8.027379e-001	-8.313750e-001
8.017613e-001	-8.317500e-001
8.007847e-001	-8.336250e-001
7.998082e-001	-8.343750e-001
7.988316e-001	-8.336250e-001
7.978550e-001	-8.343750e-001
7.968785e-001	-8.362500e-001
7.959019e-001	-8.362500e-001
7.949253e-001	-8.377500e-001
7.939487e-001	-8.385000e-001
7.929722e-001	-8.392500e-001
7.919956e-001	-8.392500e-001
7.910190e-001	-8.407500e-001
7.900425e-001	-8.411250e-001
7.890659e-001	-8.418750e-001
7.880893e-001	-8.426250e-001
7.871128e-001	-8.433750e-001
7.861362e-001	-8.433750e-001
7.851596e-001	-8.456250e-001
7.841830e-001	-8.467500e-001
7.832065e-001	-8.460000e-001
7.822299e-001	-8.486250e-001
7.812533e-001	-8.478750e-001
7.802768e-001	-8.497500e-001
7.793002e-001	-8.501250e-001
7.783236e-001	-8.516250e-001
7.773471e-001	-8.508750e-001
7.763705e-001	-8.520000e-001
7.753939e-001	-8.531250e-001
7.744173e-001	-8.527500e-001
7.734408e-001	-8.553750e-001
7.724642e-001	-8.553750e-001
7.714876e-001	-8.557500e-001
7.705111e-001	-8.568750e-001
7.695345e-001	-8.572500e-001
7.685579e-001	-8.583750e-001
7.675814e-001	-8.598750e-001
7.666048e-001	-8.598750e-001
7.656282e-001	-8.583750e-001
7.646516e-001	-8.625000e-001
7.636751e-001	-8.621250e-001
7.626985e-001	-8.628750e-001
7.617219e-001	-8.636250e-001
7.607454e-001	-8.655000e-001
7.597688e-001	-8.647500e-001
7.587922e-001	-8.662500e-001
7.578157e-001	-8.673750e-001
7.568391e-001	-8.670000e-001
