    µm         	 V
1.000005e+000	-1.274250e+000
9.990284e-001	-1.276125e+000
9.980519e-001	-1.277250e+000
9.970753e-001	-1.278000e+000
9.960987e-001	-1.279500e+000
9.951222e-001	-1.279875e+000
9.941456e-001	-1.280625e+000
9.931690e-001	-1.281375e+000
9.921924e-001	-1.283250e+000
9.912159e-001	-1.283625e+000
9.902393e-001	-1.284750e+000
9.892627e-001	-1.285125e+000
9.882862e-001	-1.286250e+000
9.873096e-001	-1.287375e+000
9.863330e-001	-1.288500e+000
9.853565e-001	-1.289625e+000
9.843799e-001	-1.290000e+000
9.834033e-001	-1.291125e+000
9.824267e-001	-1.291875e+000
9.814502e-001	-1.293000e+000
9.804736e-001	-1.294500e+000
9.794970e-001	-1.294875e+000
9.785205e-001	-1.296000e+000
9.775439e-001	-1.296750e+000
9.765673e-001	-1.297875e+000
9.755908e-001	-1.299000e+000
9.746142e-001	-1.299375e+000
9.736376e-001	-1.300875e+000
9.726610e-001	-1.301625e+000
9.716845e-001	-1.302000e+000
9.707079e-001	-1.303125e+000
9.697313e-001	-1.304625e+000
9.687548e-001	-1.305375e+000
9.677782e-001	-1.306125e+000
9.668016e-001	-1.307625e+000
9.658251e-001	-1.308000e+000
9.648485e-001	-1.308750e+000
9.638719e-001	-1.310250e+000
9.628953e-001	-1.311000e+000
9.619188e-001	-1.311750e+000
9.609422e-001	-1.312500e+000
9.599656e-001	-1.313625e+000
9.589891e-001	-1.314750e+000
9.580125e-001	-1.315500e+000
9.570359e-001	-1.316625e+000
9.560594e-001	-1.317375e+000
9.550828e-001	-1.318500e+000
9.541062e-001	-1.319250e+000
9.531296e-001	-1.320000e+000
9.521531e-001	-1.321500e+000
9.511765e-001	-1.321875e+000
9.501999e-001	-1.323375e+000
9.492234e-001	-1.323750e+000
9.482468e-001	-1.324875e+000
9.472702e-001	-1.325625e+000
9.462937e-001	-1.326750e+000
9.453171e-001	-1.327875e+000
9.443405e-001	-1.328625e+000
9.433639e-001	-1.329750e+000
9.423874e-001	-1.330125e+000
9.414108e-001	-1.331250e+000
9.404342e-001	-1.332375e+000
9.394577e-001	-1.333875e+000
9.384811e-001	-1.335000e+000
9.375045e-001	-1.335000e+000
9.365280e-001	-1.336125e+000
9.355514e-001	-1.336875e+000
9.345748e-001	-1.338000e+000
9.335982e-001	-1.339125e+000
9.326217e-001	-1.340250e+000
9.316451e-001	-1.340250e+000
9.306685e-001	-1.341750e+000
9.296920e-001	-1.342500e+000
9.287154e-001	-1.344000e+000
9.277388e-001	-1.344750e+000
9.267623e-001	-1.345500e+000
9.257857e-001	-1.346250e+000
9.248091e-001	-1.347375e+000
9.238325e-001	-1.348125e+000
9.228560e-001	-1.349625e+000
9.218794e-001	-1.350000e+000
9.209028e-001	-1.351125e+000
9.199263e-001	-1.352250e+000
9.189497e-001	-1.353375e+000
9.179731e-001	-1.354125e+000
9.169966e-001	-1.355625e+000
9.160200e-001	-1.355625e+000
9.150434e-001	-1.357125e+000
9.140668e-001	-1.357875e+000
9.130903e-001	-1.359000e+000
9.121137e-001	-1.359750e+000
9.111371e-001	-1.360500e+000
9.101606e-001	-1.361625e+000
9.091840e-001	-1.362750e+000
9.082074e-001	-1.363500e+000
9.072309e-001	-1.364625e+000
9.062543e-001	-1.365750e+000
9.052777e-001	-1.366500e+000
9.043011e-001	-1.367625e+000
9.033246e-001	-1.368000e+000
9.023480e-001	-1.369125e+000
9.013714e-001	-1.370625e+000
9.003949e-001	-1.371000e+000
8.994183e-001	-1.372125e+000
8.984417e-001	-1.372875e+000
8.974652e-001	-1.374000e+000
8.964886e-001	-1.374750e+000
8.955120e-001	-1.375875e+000
8.945354e-001	-1.376625e+000
8.935589e-001	-1.378125e+000
8.925823e-001	-1.378875e+000
8.916057e-001	-1.380000e+000
8.906292e-001	-1.380750e+000
8.896526e-001	-1.381500e+000
8.886760e-001	-1.382250e+000
8.876995e-001	-1.383750e+000
8.867229e-001	-1.384125e+000
8.857463e-001	-1.385250e+000
8.847697e-001	-1.386375e+000
8.837932e-001	-1.387125e+000
8.828166e-001	-1.388250e+000
8.818400e-001	-1.389000e+000
8.808635e-001	-1.390125e+000
8.798869e-001	-1.391250e+000
8.789103e-001	-1.392000e+000
8.779338e-001	-1.392750e+000
8.769572e-001	-1.393500e+000
8.759806e-001	-1.394625e+000
8.750040e-001	-1.395750e+000
8.740275e-001	-1.396500e+000
8.730509e-001	-1.397625e+000
8.720743e-001	-1.398750e+000
8.710978e-001	-1.399500e+000
8.701212e-001	-1.400625e+000
8.691446e-001	-1.401375e+000
8.681681e-001	-1.402125e+000
8.671915e-001	-1.402875e+000
8.662149e-001	-1.404000e+000
8.652383e-001	-1.405125e+000
8.642618e-001	-1.406250e+000
8.632852e-001	-1.407375e+000
8.623086e-001	-1.407750e+000
8.613321e-001	-1.408500e+000
8.603555e-001	-1.409625e+000
8.593789e-001	-1.411125e+000
8.584024e-001	-1.411500e+000
8.574258e-001	-1.413000e+000
8.564492e-001	-1.413750e+000
8.554726e-001	-1.414125e+000
8.544961e-001	-1.415250e+000
8.535195e-001	-1.416750e+000
8.525429e-001	-1.417875e+000
8.515664e-001	-1.418250e+000
8.505898e-001	-1.419000e+000
8.496132e-001	-1.420125e+000
8.486367e-001	-1.421250e+000
8.476601e-001	-1.421625e+000
8.466835e-001	-1.422750e+000
8.457069e-001	-1.423875e+000
8.447304e-001	-1.425000e+000
8.437538e-001	-1.425375e+000
8.427772e-001	-1.426875e+000
8.418007e-001	-1.428000e+000
8.408241e-001	-1.428375e+000
8.398475e-001	-1.429875e+000
8.388710e-001	-1.431000e+000
8.378944e-001	-1.431750e+000
8.369178e-001	-1.432500e+000
8.359413e-001	-1.433250e+000
8.349647e-001	-1.434375e+000
8.339881e-001	-1.435125e+000
8.330115e-001	-1.435875e+000
8.320350e-001	-1.437375e+000
8.310584e-001	-1.438125e+000
8.300818e-001	-1.438875e+000
8.291053e-001	-1.439625e+000
8.281287e-001	-1.440750e+000
8.271521e-001	-1.441875e+000
8.261756e-001	-1.442625e+000
8.251990e-001	-1.443000e+000
8.242224e-001	-1.444500e+000
8.232458e-001	-1.445625e+000
8.222693e-001	-1.446000e+000
8.212927e-001	-1.447500e+000
8.203161e-001	-1.448625e+000
8.193396e-001	-1.449375e+000
8.183630e-001	-1.450125e+000
8.173864e-001	-1.451250e+000
8.164099e-001	-1.452000e+000
8.154333e-001	-1.453125e+000
8.144567e-001	-1.453500e+000
8.134801e-001	-1.454625e+000
8.125036e-001	-1.455750e+000
8.115270e-001	-1.456500e+000
8.105504e-001	-1.456875e+000
8.095739e-001	-1.458750e+000
8.085973e-001	-1.459125e+000
8.076207e-001	-1.460250e+000
8.066442e-001	-1.461375e+000
8.056676e-001	-1.462125e+000
8.046910e-001	-1.462875e+000
8.037144e-001	-1.464000e+000
8.027379e-001	-1.465125e+000
8.017613e-001	-1.466250e+000
8.007847e-001	-1.467000e+000
7.998082e-001	-1.467750e+000
7.988316e-001	-1.468500e+000
7.978550e-001	-1.470375e+000
7.968785e-001	-1.470750e+000
7.959019e-001	-1.471500e+000
7.949253e-001	-1.472250e+000
7.939487e-001	-1.473750e+000
7.929722e-001	-1.474125e+000
7.919956e-001	-1.475250e+000
7.910190e-001	-1.476375e+000
7.900425e-001	-1.477125e+000
7.890659e-001	-1.478250e+000
7.880893e-001	-1.479375e+000
7.871128e-001	-1.480125e+000
7.861362e-001	-1.481250e+000
7.851596e-001	-1.481625e+000
7.841830e-001	-1.482750e+000
