    µm         	 V
1.000005e+000	-4.942500e-001
9.990284e-001	-4.961250e-001
9.980519e-001	-4.968750e-001
9.970753e-001	-4.987500e-001
9.960987e-001	-4.998750e-001
9.951222e-001	-5.013750e-001
9.941456e-001	-5.028750e-001
9.931690e-001	-5.043750e-001
9.921924e-001	-5.058750e-001
9.912159e-001	-5.073750e-001
9.902393e-001	-5.088750e-001
9.892627e-001	-5.103750e-001
9.882862e-001	-5.118750e-001
9.873096e-001	-5.130000e-001
9.863330e-001	-5.145000e-001
9.853565e-001	-5.160000e-001
9.843799e-001	-5.175000e-001
9.834033e-001	-5.193750e-001
9.824267e-001	-5.208750e-001
9.814502e-001	-5.220000e-001
9.804736e-001	-5.238750e-001
9.794970e-001	-5.250000e-001
9.785205e-001	-5.265000e-001
9.775439e-001	-5.283750e-001
9.765673e-001	-5.295000e-001
9.755908e-001	-5.310000e-001
9.746142e-001	-5.325000e-001
9.736376e-001	-5.336250e-001
9.726610e-001	-5.351250e-001
9.716845e-001	-5.366250e-001
9.707079e-001	-5.388750e-001
9.697313e-001	-5.400000e-001
9.687548e-001	-5.415000e-001
9.677782e-001	-5.430000e-001
9.668016e-001	-5.448750e-001
9.658251e-001	-5.460000e-001
9.648485e-001	-5.475000e-001
9.638719e-001	-5.490000e-001
9.628953e-001	-5.508750e-001
9.619188e-001	-5.520000e-001
9.609422e-001	-5.535000e-001
9.599656e-001	-5.553750e-001
9.589891e-001	-5.568750e-001
9.580125e-001	-5.583750e-001
9.570359e-001	-5.595000e-001
9.560594e-001	-5.617500e-001
9.550828e-001	-5.628750e-001
9.541062e-001	-5.643750e-001
9.531296e-001	-5.666250e-001
9.521531e-001	-5.673750e-001
9.511765e-001	-5.688750e-001
9.501999e-001	-5.707500e-001
9.492234e-001	-5.722500e-001
9.482468e-001	-5.737500e-001
9.472702e-001	-5.748750e-001
9.462937e-001	-5.767500e-001
9.453171e-001	-5.782500e-001
9.443405e-001	-5.801250e-001
9.433639e-001	-5.812500e-001
9.423874e-001	-5.835000e-001
9.414108e-001	-5.850000e-001
9.404342e-001	-5.865000e-001
