    µm         	 V
9.121137e-001	-1.212375e+000
9.111371e-001	-1.212750e+000
9.101606e-001	-1.213875e+000
9.091840e-001	-1.215000e+000
9.082074e-001	-1.215750e+000
9.072309e-001	-1.216875e+000
9.062543e-001	-1.217625e+000
9.052777e-001	-1.218750e+000
9.043011e-001	-1.219500e+000
9.033246e-001	-1.220625e+000
9.023480e-001	-1.221375e+000
9.013714e-001	-1.222125e+000
9.003949e-001	-1.223250e+000
8.994183e-001	-1.223625e+000
8.984417e-001	-1.224750e+000
8.974652e-001	-1.225500e+000
8.964886e-001	-1.227000e+000
8.955120e-001	-1.228500e+000
8.945354e-001	-1.228500e+000
8.935589e-001	-1.229250e+000
8.925823e-001	-1.230750e+000
8.916057e-001	-1.231500e+000
8.906292e-001	-1.232250e+000
8.896526e-001	-1.233375e+000
8.886760e-001	-1.234500e+000
8.876995e-001	-1.234875e+000
8.867229e-001	-1.236375e+000
8.857463e-001	-1.236750e+000
8.847697e-001	-1.237875e+000
8.837932e-001	-1.239000e+000
8.828166e-001	-1.239750e+000
8.818400e-001	-1.240125e+000
8.808635e-001	-1.241250e+000
8.798869e-001	-1.242000e+000
8.789103e-001	-1.243875e+000
8.779338e-001	-1.244625e+000
8.769572e-001	-1.244625e+000
8.759806e-001	-1.245750e+000
8.750040e-001	-1.247250e+000
8.740275e-001	-1.247625e+000
8.730509e-001	-1.248750e+000
8.720743e-001	-1.249500e+000
8.710978e-001	-1.250250e+000
8.701212e-001	-1.251375e+000
8.691446e-001	-1.252125e+000
8.681681e-001	-1.252875e+000
8.671915e-001	-1.254000e+000
8.662149e-001	-1.254750e+000
8.652383e-001	-1.255875e+000
8.642618e-001	-1.257000e+000
8.632852e-001	-1.257375e+000
8.623086e-001	-1.258500e+000
8.613321e-001	-1.259625e+000
8.603555e-001	-1.260375e+000
8.593789e-001	-1.261125e+000
8.584024e-001	-1.261500e+000
8.574258e-001	-1.263750e+000
8.564492e-001	-1.264125e+000
8.554726e-001	-1.265250e+000
8.544961e-001	-1.265625e+000
8.535195e-001	-1.266750e+000
8.525429e-001	-1.267875e+000
8.515664e-001	-1.269000e+000
8.505898e-001	-1.269000e+000
8.496132e-001	-1.270875e+000
8.486367e-001	-1.271625e+000
8.476601e-001	-1.272375e+000
8.466835e-001	-1.273500e+000
8.457069e-001	-1.274625e+000
8.447304e-001	-1.275375e+000
8.437538e-001	-1.276500e+000
8.427772e-001	-1.277625e+000
8.418007e-001	-1.278000e+000
8.408241e-001	-1.279125e+000
8.398475e-001	-1.279875e+000
8.388710e-001	-1.281000e+000
8.378944e-001	-1.282125e+000
8.369178e-001	-1.282875e+000
8.359413e-001	-1.283625e+000
8.349647e-001	-1.284750e+000
8.339881e-001	-1.285500e+000
8.330115e-001	-1.286250e+000
8.320350e-001	-1.287375e+000
8.310584e-001	-1.288125e+000
8.300818e-001	-1.288875e+000
8.291053e-001	-1.290000e+000
