    nm         	mV
6.972697e+001	-3.693750e+002
6.962931e+001	-3.772500e+002
6.953165e+001	-3.727500e+002
6.943399e+001	-3.757500e+002
6.933634e+001	-3.757500e+002
6.923868e+001	-3.768750e+002
6.914102e+001	-3.708750e+002
6.904337e+001	-3.828750e+002
6.894571e+001	-3.761250e+002
6.884805e+001	-3.798750e+002
6.875040e+001	-3.817500e+002
6.865274e+001	-3.787500e+002
6.855508e+001	-3.761250e+002
6.845742e+001	-3.873750e+002
6.835977e+001	-3.817500e+002
6.826211e+001	-3.795000e+002
6.816445e+001	-3.825000e+002
6.806680e+001	-3.847500e+002
6.796914e+001	-3.825000e+002
6.787148e+001	-3.933750e+002
6.777383e+001	-3.851250e+002
6.767617e+001	-3.881250e+002
6.757851e+001	-3.892500e+002
6.748085e+001	-3.888750e+002
6.738320e+001	-3.866250e+002
6.728554e+001	-3.941250e+002
6.718788e+001	-3.915000e+002
6.709023e+001	-3.896250e+002
6.699257e+001	-3.903750e+002
6.689491e+001	-3.975000e+002
6.679726e+001	-3.896250e+002
6.669960e+001	-4.035000e+002
6.660194e+001	-3.948750e+002
6.650428e+001	-3.952500e+002
6.640663e+001	-3.911250e+002
6.630897e+001	-4.016250e+002
6.621131e+001	-3.986250e+002
6.611366e+001	-4.038750e+002
6.601600e+001	-4.023750e+002
6.591834e+001	-3.982500e+002
6.582069e+001	-3.933750e+002
6.572303e+001	-4.098750e+002
6.562537e+001	-4.035000e+002
6.552771e+001	-4.065000e+002
6.543006e+001	-4.061250e+002
6.533240e+001	-4.057500e+002
6.523474e+001	-4.020000e+002
6.513709e+001	-4.128750e+002
6.503943e+001	-4.091250e+002
6.494177e+001	-4.091250e+002
6.484412e+001	-4.065000e+002
6.474646e+001	-4.140000e+002
6.464880e+001	-4.061250e+002
6.455114e+001	-4.188750e+002
6.445349e+001	-4.113750e+002
6.435583e+001	-4.162500e+002
6.425817e+001	-4.140000e+002
6.416052e+001	-4.128750e+002
6.406286e+001	-4.155000e+002
6.396520e+001	-4.215000e+002
6.386755e+001	-4.170000e+002
6.376989e+001	-4.170000e+002
6.367223e+001	-4.211250e+002
6.357457e+001	-4.177500e+002
6.347692e+001	-4.170000e+002
6.337926e+001	-4.233750e+002
6.328160e+001	-4.215000e+002
6.318395e+001	-4.192500e+002
6.308629e+001	-4.256250e+002
6.298863e+001	-4.252500e+002
6.289098e+001	-4.237500e+002
6.279332e+001	-4.256250e+002
6.269566e+001	-4.252500e+002
6.259801e+001	-4.267500e+002
6.250035e+001	-4.267500e+002
6.240269e+001	-4.282500e+002
6.230503e+001	-4.248750e+002
6.220738e+001	-4.327500e+002
