    nm         	mV
3.730484e+002	2.411250e+002
3.725601e+002	2.403750e+002
3.720718e+002	2.396250e+002
3.715836e+002	2.400000e+002
3.710953e+002	2.400000e+002
3.706070e+002	2.388750e+002
3.701187e+002	2.388750e+002
3.696304e+002	2.388750e+002
3.691421e+002	2.381250e+002
3.686538e+002	2.373750e+002
3.681656e+002	2.370000e+002
3.676773e+002	2.373750e+002
3.671890e+002	2.366250e+002
3.667007e+002	2.362500e+002
3.662124e+002	2.355000e+002
3.657241e+002	2.355000e+002
3.652358e+002	2.347500e+002
3.647476e+002	2.347500e+002
3.642593e+002	2.340000e+002
3.637710e+002	2.336250e+002
3.632827e+002	2.328750e+002
3.627944e+002	2.328750e+002
3.623061e+002	2.328750e+002
3.618179e+002	2.317500e+002
3.613296e+002	2.310000e+002
3.608413e+002	2.310000e+002
3.603530e+002	2.306250e+002
3.598647e+002	2.298750e+002
3.593764e+002	2.295000e+002
3.588881e+002	2.295000e+002
3.583999e+002	2.287500e+002
3.579116e+002	2.280000e+002
3.574233e+002	2.280000e+002
3.569350e+002	2.276250e+002
3.564467e+002	2.268750e+002
3.559584e+002	2.268750e+002
3.554701e+002	2.257500e+002
3.549819e+002	2.257500e+002
3.544936e+002	2.250000e+002
3.540053e+002	2.242500e+002
3.535170e+002	2.242500e+002
3.530287e+002	2.238750e+002
3.525404e+002	2.231250e+002
3.520522e+002	2.231250e+002
3.515639e+002	2.223750e+002
3.510756e+002	2.212500e+002
3.505873e+002	2.212500e+002
3.500990e+002	2.208750e+002
3.496107e+002	2.201250e+002
3.491224e+002	2.201250e+002
3.486342e+002	2.193750e+002
3.481459e+002	2.186250e+002
3.476576e+002	2.182500e+002
3.471693e+002	2.182500e+002
3.466810e+002	2.178750e+002
3.461927e+002	2.171250e+002
3.457044e+002	2.163750e+002
3.452162e+002	2.160000e+002
3.447279e+002	2.156250e+002
3.442396e+002	2.148750e+002
3.437513e+002	2.145000e+002
3.432630e+002	2.148750e+002
3.427747e+002	2.141250e+002
3.422865e+002	2.126250e+002
3.417982e+002	2.126250e+002
3.413099e+002	2.133750e+002
3.408216e+002	2.115000e+002
3.403333e+002	2.111250e+002
3.398450e+002	2.115000e+002
3.393567e+002	2.107500e+002
3.388685e+002	2.096250e+002
3.383802e+002	2.096250e+002
3.378919e+002	2.092500e+002
3.374036e+002	2.085000e+002
3.369153e+002	2.073750e+002
3.364270e+002	2.073750e+002
3.359388e+002	2.070000e+002
3.354505e+002	2.062500e+002
3.349622e+002	2.055000e+002
3.344739e+002	2.055000e+002
3.339856e+002	2.051250e+002
3.334973e+002	2.043750e+002
3.330090e+002	2.043750e+002
3.325208e+002	2.040000e+002
3.320325e+002	2.021250e+002
3.315442e+002	2.021250e+002
3.310559e+002	2.025000e+002
3.305676e+002	2.017500e+002
3.300793e+002	2.006250e+002
3.295910e+002	2.010000e+002
