    µm         	 V
1.000005e+000	-1.095375e+000
9.990284e-001	-1.097625e+000
9.980519e-001	-1.098000e+000
9.970753e-001	-1.098375e+000
9.960987e-001	-1.099875e+000
9.951222e-001	-1.100625e+000
9.941456e-001	-1.101375e+000
9.931690e-001	-1.102125e+000
9.921924e-001	-1.103250e+000
9.912159e-001	-1.103625e+000
9.902393e-001	-1.104375e+000
9.892627e-001	-1.105500e+000
9.882862e-001	-1.106625e+000
9.873096e-001	-1.107000e+000
9.863330e-001	-1.107750e+000
9.853565e-001	-1.109250e+000
9.843799e-001	-1.109625e+000
9.834033e-001	-1.110750e+000
9.824267e-001	-1.111875e+000
9.814502e-001	-1.112625e+000
9.804736e-001	-1.113375e+000
9.794970e-001	-1.114125e+000
9.785205e-001	-1.115250e+000
9.775439e-001	-1.115625e+000
9.765673e-001	-1.116750e+000
9.755908e-001	-1.118250e+000
9.746142e-001	-1.118625e+000
9.736376e-001	-1.119750e+000
9.726610e-001	-1.120500e+000
9.716845e-001	-1.121250e+000
9.707079e-001	-1.122375e+000
9.697313e-001	-1.123125e+000
9.687548e-001	-1.123875e+000
9.677782e-001	-1.124625e+000
9.668016e-001	-1.125750e+000
9.658251e-001	-1.126500e+000
9.648485e-001	-1.127625e+000
9.638719e-001	-1.128000e+000
9.628953e-001	-1.129125e+000
9.619188e-001	-1.130250e+000
9.609422e-001	-1.131000e+000
9.599656e-001	-1.131750e+000
9.589891e-001	-1.132875e+000
9.580125e-001	-1.134000e+000
9.570359e-001	-1.134375e+000
9.560594e-001	-1.135500e+000
9.550828e-001	-1.136250e+000
9.541062e-001	-1.137000e+000
9.531296e-001	-1.138125e+000
9.521531e-001	-1.138875e+000
9.511765e-001	-1.140375e+000
9.501999e-001	-1.141125e+000
9.492234e-001	-1.141500e+000
9.482468e-001	-1.142625e+000
9.472702e-001	-1.143375e+000
9.462937e-001	-1.144125e+000
9.453171e-001	-1.144875e+000
9.443405e-001	-1.146000e+000
9.433639e-001	-1.147500e+000
9.423874e-001	-1.147500e+000
9.414108e-001	-1.148625e+000
9.404342e-001	-1.149750e+000
9.394577e-001	-1.150500e+000
9.384811e-001	-1.151625e+000
9.375045e-001	-1.152750e+000
9.365280e-001	-1.153500e+000
9.355514e-001	-1.154250e+000
9.345748e-001	-1.155000e+000
9.335982e-001	-1.155750e+000
9.326217e-001	-1.157250e+000
9.316451e-001	-1.157625e+000
9.306685e-001	-1.158375e+000
9.296920e-001	-1.159500e+000
