    µm         	 V
1.000005e+000	-9.333750e-001
9.990284e-001	-9.348750e-001
9.980519e-001	-9.360000e-001
9.970753e-001	-9.367500e-001
9.960987e-001	-9.378750e-001
9.951222e-001	-9.390000e-001
9.941456e-001	-9.393750e-001
9.931690e-001	-9.401250e-001
9.921924e-001	-9.408750e-001
9.912159e-001	-9.423750e-001
9.902393e-001	-9.427500e-001
9.892627e-001	-9.435000e-001
9.882862e-001	-9.450000e-001
9.873096e-001	-9.457500e-001
9.863330e-001	-9.465000e-001
9.853565e-001	-9.472500e-001
9.843799e-001	-9.483750e-001
9.834033e-001	-9.491250e-001
9.824267e-001	-9.502500e-001
9.814502e-001	-9.506250e-001
9.804736e-001	-9.521250e-001
9.794970e-001	-9.528750e-001
9.785205e-001	-9.536250e-001
9.775439e-001	-9.547500e-001
9.765673e-001	-9.551250e-001
9.755908e-001	-9.562500e-001
9.746142e-001	-9.573750e-001
9.736376e-001	-9.581250e-001
9.726610e-001	-9.592500e-001
9.716845e-001	-9.596250e-001
9.707079e-001	-9.611250e-001
9.697313e-001	-9.618750e-001
9.687548e-001	-9.622500e-001
9.677782e-001	-9.637500e-001
9.668016e-001	-9.645000e-001
9.658251e-001	-9.652500e-001
9.648485e-001	-9.660000e-001
9.638719e-001	-9.671250e-001
9.628953e-001	-9.682500e-001
9.619188e-001	-9.686250e-001
9.609422e-001	-9.701250e-001
9.599656e-001	-9.708750e-001
9.589891e-001	-9.716250e-001
9.580125e-001	-9.727500e-001
9.570359e-001	-9.735000e-001
9.560594e-001	-9.742500e-001
9.550828e-001	-9.753750e-001
9.541062e-001	-9.761250e-001
9.531296e-001	-9.772500e-001
9.521531e-001	-9.776250e-001
9.511765e-001	-9.783750e-001
9.501999e-001	-9.798750e-001
9.492234e-001	-9.802500e-001
9.482468e-001	-9.813750e-001
9.472702e-001	-9.821250e-001
9.462937e-001	-9.828750e-001
9.453171e-001	-9.843750e-001
9.443405e-001	-9.851250e-001
9.433639e-001	-9.855000e-001
9.423874e-001	-9.866250e-001
9.414108e-001	-9.873750e-001
9.404342e-001	-9.888750e-001
9.394577e-001	-9.896250e-001
9.384811e-001	-9.903750e-001
9.375045e-001	-9.915000e-001
9.365280e-001	-9.922500e-001
9.355514e-001	-9.933750e-001
9.345748e-001	-9.941250e-001
9.335982e-001	-9.948750e-001
9.326217e-001	-9.956250e-001
9.316451e-001	-9.971250e-001
9.306685e-001	-9.975000e-001
9.296920e-001	-9.982500e-001
9.287154e-001	-9.993750e-001
9.277388e-001	-1.000875e+000
9.267623e-001	-1.000875e+000
9.257857e-001	-1.002000e+000
9.248091e-001	-1.003125e+000
9.238325e-001	-1.003875e+000
9.228560e-001	-1.005375e+000
9.218794e-001	-1.006125e+000
9.209028e-001	-1.006500e+000
9.199263e-001	-1.007625e+000
9.189497e-001	-1.009125e+000
9.179731e-001	-1.009875e+000
9.169966e-001	-1.010625e+000
9.160200e-001	-1.011375e+000
9.150434e-001	-1.012125e+000
9.140668e-001	-1.012875e+000
9.130903e-001	-1.014375e+000
9.121137e-001	-1.014750e+000
9.111371e-001	-1.015875e+000
9.101606e-001	-1.017000e+000
9.091840e-001	-1.017750e+000
9.082074e-001	-1.018125e+000
9.072309e-001	-1.019625e+000
9.062543e-001	-1.020750e+000
9.052777e-001	-1.021500e+000
9.043011e-001	-1.022250e+000
9.033246e-001	-1.023000e+000
9.023480e-001	-1.024125e+000
9.013714e-001	-1.025625e+000
9.003949e-001	-1.026375e+000
8.994183e-001	-1.026375e+000
8.984417e-001	-1.027875e+000
8.974652e-001	-1.029000e+000
8.964886e-001	-1.029750e+000
8.955120e-001	-1.030500e+000
8.945354e-001	-1.031625e+000
8.935589e-001	-1.032750e+000
8.925823e-001	-1.033875e+000
8.916057e-001	-1.034625e+000
8.906292e-001	-1.035375e+000
8.896526e-001	-1.036500e+000
8.886760e-001	-1.037625e+000
8.876995e-001	-1.038000e+000
8.867229e-001	-1.038750e+000
8.857463e-001	-1.040250e+000
8.847697e-001	-1.041000e+000
8.837932e-001	-1.042125e+000
8.828166e-001	-1.043250e+000
8.818400e-001	-1.043625e+000
8.808635e-001	-1.044750e+000
8.798869e-001	-1.045875e+000
8.789103e-001	-1.046250e+000
8.779338e-001	-1.047750e+000
8.769572e-001	-1.048875e+000
8.759806e-001	-1.049250e+000
8.750040e-001	-1.049625e+000
8.740275e-001	-1.050375e+000
8.730509e-001	-1.051875e+000
8.720743e-001	-1.053375e+000
8.710978e-001	-1.054125e+000
8.701212e-001	-1.054875e+000
8.691446e-001	-1.054875e+000
8.681681e-001	-1.056750e+000
8.671915e-001	-1.057500e+000
8.662149e-001	-1.058250e+000
8.652383e-001	-1.059000e+000
8.642618e-001	-1.059750e+000
8.632852e-001	-1.061250e+000
8.623086e-001	-1.062000e+000
8.613321e-001	-1.062750e+000
8.603555e-001	-1.064250e+000
8.593789e-001	-1.065000e+000
8.584024e-001	-1.065375e+000
8.574258e-001	-1.066125e+000
8.564492e-001	-1.067625e+000
8.554726e-001	-1.068375e+000
8.544961e-001	-1.069125e+000
8.535195e-001	-1.070250e+000
8.525429e-001	-1.071000e+000
8.515664e-001	-1.072125e+000
8.505898e-001	-1.073250e+000
8.496132e-001	-1.074375e+000
8.486367e-001	-1.075125e+000
8.476601e-001	-1.076250e+000
8.466835e-001	-1.077375e+000
8.457069e-001	-1.077750e+000
8.447304e-001	-1.078875e+000
8.437538e-001	-1.079625e+000
8.427772e-001	-1.081125e+000
8.418007e-001	-1.082250e+000
8.408241e-001	-1.082250e+000
8.398475e-001	-1.083375e+000
8.388710e-001	-1.084500e+000
8.378944e-001	-1.084875e+000
8.369178e-001	-1.086375e+000
8.359413e-001	-1.087125e+000
8.349647e-001	-1.088250e+000
8.339881e-001	-1.089000e+000
8.330115e-001	-1.090125e+000
8.320350e-001	-1.091250e+000
8.310584e-001	-1.092000e+000
8.300818e-001	-1.093125e+000
8.291053e-001	-1.093500e+000
8.281287e-001	-1.095000e+000
8.271521e-001	-1.095375e+000
8.261756e-001	-1.096875e+000
8.251990e-001	-1.098000e+000
8.242224e-001	-1.098375e+000
8.232458e-001	-1.099125e+000
8.222693e-001	-1.100625e+000
8.212927e-001	-1.101375e+000
8.203161e-001	-1.102875e+000
8.193396e-001	-1.102500e+000
8.183630e-001	-1.104000e+000
8.173864e-001	-1.105500e+000
8.164099e-001	-1.106250e+000
8.154333e-001	-1.106625e+000
8.144567e-001	-1.108500e+000
8.134801e-001	-1.109250e+000
8.125036e-001	-1.110000e+000
8.115270e-001	-1.110750e+000
8.105504e-001	-1.111875e+000
8.095739e-001	-1.113000e+000
8.085973e-001	-1.113750e+000
8.076207e-001	-1.114875e+000
8.066442e-001	-1.115625e+000
8.056676e-001	-1.116375e+000
8.046910e-001	-1.117500e+000
8.037144e-001	-1.119000e+000
8.027379e-001	-1.119750e+000
8.017613e-001	-1.120125e+000
8.007847e-001	-1.121250e+000
7.998082e-001	-1.122375e+000
7.988316e-001	-1.123500e+000
7.978550e-001	-1.123875e+000
7.968785e-001	-1.125000e+000
7.959019e-001	-1.126125e+000
7.949253e-001	-1.126875e+000
7.939487e-001	-1.127625e+000
7.929722e-001	-1.128750e+000
7.919956e-001	-1.129875e+000
7.910190e-001	-1.130625e+000
7.900425e-001	-1.131375e+000
7.890659e-001	-1.132125e+000
7.880893e-001	-1.133625e+000
7.871128e-001	-1.134750e+000
7.861362e-001	-1.135500e+000
7.851596e-001	-1.135875e+000
7.841830e-001	-1.137000e+000
7.832065e-001	-1.138125e+000
7.822299e-001	-1.138875e+000
7.812533e-001	-1.139625e+000
7.802768e-001	-1.140000e+000
7.793002e-001	-1.141500e+000
7.783236e-001	-1.142625e+000
7.773471e-001	-1.143375e+000
7.763705e-001	-1.144125e+000
7.753939e-001	-1.144875e+000
7.744173e-001	-1.146375e+000
7.734408e-001	-1.147125e+000
7.724642e-001	-1.148250e+000
7.714876e-001	-1.148625e+000
7.705111e-001	-1.150125e+000
7.695345e-001	-1.151250e+000
7.685579e-001	-1.151625e+000
7.675814e-001	-1.152750e+000
7.666048e-001	-1.153500e+000
7.656282e-001	-1.155375e+000
7.646516e-001	-1.155750e+000
7.636751e-001	-1.156125e+000
7.626985e-001	-1.156875e+000
7.617219e-001	-1.158375e+000
7.607454e-001	-1.159500e+000
7.597688e-001	-1.160250e+000
7.587922e-001	-1.161000e+000
7.578157e-001	-1.161750e+000
7.568391e-001	-1.162875e+000
7.558625e-001	-1.164000e+000
7.548859e-001	-1.165125e+000
