    nm         	 V
1.000006e+002	-6.832500e-001
9.990298e+001	-6.825000e-001
9.980532e+001	-6.847500e-001
9.970766e+001	-6.881250e-001
9.961001e+001	-6.870000e-001
9.951235e+001	-6.885000e-001
9.941469e+001	-6.885000e-001
9.931703e+001	-6.900000e-001
9.921938e+001	-6.926250e-001
9.912172e+001	-6.971250e-001
9.902406e+001	-6.982500e-001
9.892641e+001	-6.971250e-001
9.882875e+001	-6.978750e-001
9.873109e+001	-6.986250e-001
9.863344e+001	-7.016250e-001
9.853578e+001	-7.053750e-001
9.843812e+001	-7.065000e-001
9.834046e+001	-7.046250e-001
9.824281e+001	-7.072500e-001
9.814515e+001	-7.091250e-001
9.804749e+001	-7.110000e-001
9.794984e+001	-7.132500e-001
9.785218e+001	-7.155000e-001
9.775452e+001	-7.143750e-001
9.765687e+001	-7.166250e-001
9.755921e+001	-7.177500e-001
9.746155e+001	-7.211250e-001
9.736389e+001	-7.226250e-001
9.726624e+001	-7.222500e-001
9.716858e+001	-7.237500e-001
9.707092e+001	-7.252500e-001
9.697327e+001	-7.286250e-001
9.687561e+001	-7.297500e-001
9.677795e+001	-7.293750e-001
9.668030e+001	-7.305000e-001
9.658264e+001	-7.316250e-001
9.648498e+001	-7.357500e-001
9.638732e+001	-7.383750e-001
9.628967e+001	-7.398750e-001
9.619201e+001	-7.387500e-001
9.609435e+001	-7.406250e-001
9.599670e+001	-7.417500e-001
9.589904e+001	-7.436250e-001
9.580138e+001	-7.451250e-001
9.570373e+001	-7.470000e-001
9.560607e+001	-7.466250e-001
9.550841e+001	-7.492500e-001
9.541075e+001	-7.511250e-001
9.531310e+001	-7.545000e-001
9.521544e+001	-7.537500e-001
9.511778e+001	-7.556250e-001
9.502013e+001	-7.586250e-001
9.492247e+001	-7.582500e-001
9.482481e+001	-7.612500e-001
9.472716e+001	-7.605000e-001
9.462950e+001	-7.627500e-001
9.453184e+001	-7.646250e-001
9.443418e+001	-7.680000e-001
9.433653e+001	-7.695000e-001
9.423887e+001	-7.691250e-001
9.414121e+001	-7.706250e-001
9.404356e+001	-7.721250e-001
9.394590e+001	-7.732500e-001
9.384824e+001	-7.770000e-001
9.375059e+001	-7.781250e-001
9.365293e+001	-7.777500e-001
9.355527e+001	-7.781250e-001
9.345761e+001	-7.818750e-001
9.335996e+001	-7.818750e-001
9.326230e+001	-7.863750e-001
9.316464e+001	-7.863750e-001
9.306699e+001	-7.867500e-001
9.296933e+001	-7.875000e-001
9.287167e+001	-7.912500e-001
9.277402e+001	-7.927500e-001
9.267636e+001	-7.935000e-001
9.257870e+001	-7.965000e-001
9.248105e+001	-7.957500e-001
9.238339e+001	-7.987500e-001
9.228573e+001	-7.980000e-001
9.218807e+001	-8.028750e-001
9.209042e+001	-8.002500e-001
9.199276e+001	-8.043750e-001
9.189510e+001	-8.062500e-001
9.179745e+001	-8.070000e-001
9.169979e+001	-8.096250e-001
9.160213e+001	-8.100000e-001
9.150448e+001	-8.118750e-001
9.140682e+001	-8.126250e-001
9.130916e+001	-8.160000e-001
9.121150e+001	-8.160000e-001
9.111385e+001	-8.163750e-001
9.101619e+001	-8.190000e-001
9.091853e+001	-8.216250e-001
9.082088e+001	-8.231250e-001
9.072322e+001	-8.231250e-001
9.062556e+001	-8.265000e-001
9.052791e+001	-8.272500e-001
9.043025e+001	-8.283750e-001
9.033259e+001	-8.306250e-001
9.023493e+001	-8.310000e-001
9.013728e+001	-8.317500e-001
9.003962e+001	-8.343750e-001
8.994196e+001	-8.370000e-001
8.984431e+001	-8.373750e-001
8.974665e+001	-8.396250e-001
8.964899e+001	-8.400000e-001
8.955134e+001	-8.415000e-001
8.945368e+001	-8.422500e-001
8.935602e+001	-8.463750e-001
8.925836e+001	-8.490000e-001
8.916071e+001	-8.478750e-001
8.906305e+001	-8.520000e-001
8.896539e+001	-8.497500e-001
8.886774e+001	-8.527500e-001
8.877008e+001	-8.553750e-001
8.867242e+001	-8.565000e-001
8.857477e+001	-8.572500e-001
8.847711e+001	-8.602500e-001
8.837945e+001	-8.610000e-001
8.828179e+001	-8.610000e-001
8.818414e+001	-8.655000e-001
8.808648e+001	-8.658750e-001
8.798882e+001	-8.677500e-001
8.789117e+001	-8.685000e-001
8.779351e+001	-8.711250e-001
8.769585e+001	-8.703750e-001
8.759820e+001	-8.730000e-001
8.750054e+001	-8.763750e-001
8.740288e+001	-8.763750e-001
8.730522e+001	-8.775000e-001
8.720757e+001	-8.797500e-001
8.710991e+001	-8.808750e-001
8.701225e+001	-8.823750e-001
8.691460e+001	-8.850000e-001
8.681694e+001	-8.865000e-001
8.671928e+001	-8.865000e-001
8.662163e+001	-8.891250e-001
8.652397e+001	-8.910000e-001
8.642631e+001	-8.925000e-001
8.632865e+001	-8.932500e-001
8.623100e+001	-8.951250e-001
8.613334e+001	-8.951250e-001
8.603568e+001	-8.977500e-001
8.593803e+001	-8.996250e-001
8.584037e+001	-9.018750e-001
8.574271e+001	-9.030000e-001
8.564506e+001	-9.052500e-001
8.554740e+001	-9.060000e-001
8.544974e+001	-9.063750e-001
8.535208e+001	-9.105000e-001
8.525443e+001	-9.097500e-001
8.515677e+001	-9.135000e-001
8.505911e+001	-9.127500e-001
8.496146e+001	-9.161250e-001
8.486380e+001	-9.176250e-001
8.476614e+001	-9.202500e-001
8.466849e+001	-9.210000e-001
8.457083e+001	-9.217500e-001
8.447317e+001	-9.236250e-001
8.437551e+001	-9.258750e-001
8.427786e+001	-9.270000e-001
8.418020e+001	-9.303750e-001
8.408254e+001	-9.288750e-001
8.398489e+001	-9.315000e-001
8.388723e+001	-9.326250e-001
8.378957e+001	-9.356250e-001
8.369192e+001	-9.382500e-001
8.359426e+001	-9.390000e-001
8.349660e+001	-9.401250e-001
8.339894e+001	-9.416250e-001
8.330129e+001	-9.442500e-001
8.320363e+001	-9.453750e-001
8.310597e+001	-9.461250e-001
8.300832e+001	-9.480000e-001
8.291066e+001	-9.491250e-001
8.281300e+001	-9.506250e-001
8.271535e+001	-9.521250e-001
8.261769e+001	-9.543750e-001
