    nm         	 V
3.000017e+002	-1.315500e+000
2.997087e+002	-1.316250e+000
2.994157e+002	-1.316250e+000
2.991228e+002	-1.318125e+000
2.988298e+002	-1.316250e+000
2.985368e+002	-1.317000e+000
2.982439e+002	-1.318875e+000
2.979509e+002	-1.319250e+000
2.976579e+002	-1.320375e+000
2.973649e+002	-1.322250e+000
2.970720e+002	-1.321875e+000
2.967790e+002	-1.323000e+000
2.964860e+002	-1.326375e+000
2.961931e+002	-1.323750e+000
2.959001e+002	-1.326000e+000
2.956071e+002	-1.325625e+000
2.953142e+002	-1.327500e+000
2.950212e+002	-1.328625e+000
2.947282e+002	-1.330125e+000
2.944352e+002	-1.328625e+000
2.941423e+002	-1.332000e+000
2.938493e+002	-1.334250e+000
2.935563e+002	-1.333875e+000
2.932634e+002	-1.333875e+000
2.929704e+002	-1.336125e+000
2.926774e+002	-1.336875e+000
2.923844e+002	-1.335375e+000
2.920915e+002	-1.340250e+000
2.917985e+002	-1.337250e+000
2.915055e+002	-1.339500e+000
2.912126e+002	-1.341000e+000
2.909196e+002	-1.344000e+000
2.906266e+002	-1.340625e+000
2.903336e+002	-1.344750e+000
2.900407e+002	-1.345500e+000
2.897477e+002	-1.343625e+000
2.894547e+002	-1.348875e+000
2.891618e+002	-1.347750e+000
2.888688e+002	-1.347750e+000
2.885758e+002	-1.352625e+000
2.882828e+002	-1.350375e+000
2.879899e+002	-1.351875e+000
2.876969e+002	-1.353375e+000
2.874039e+002	-1.357875e+000
2.871110e+002	-1.351875e+000
2.868180e+002	-1.357500e+000
2.865250e+002	-1.357875e+000
2.862321e+002	-1.356375e+000
2.859391e+002	-1.358625e+000
2.856461e+002	-1.361250e+000
2.853531e+002	-1.360125e+000
2.850602e+002	-1.361250e+000
2.847672e+002	-1.363125e+000
2.844742e+002	-1.362375e+000
2.841813e+002	-1.365000e+000
2.838883e+002	-1.366500e+000
2.835953e+002	-1.365000e+000
2.833023e+002	-1.368750e+000
2.830094e+002	-1.369500e+000
2.827164e+002	-1.368750e+000
2.824234e+002	-1.372500e+000
2.821305e+002	-1.372500e+000
2.818375e+002	-1.372125e+000
2.815445e+002	-1.373625e+000
2.812515e+002	-1.374000e+000
2.809586e+002	-1.376250e+000
2.806656e+002	-1.375875e+000
2.803726e+002	-1.379625e+000
2.800797e+002	-1.378500e+000
2.797867e+002	-1.380375e+000
2.794937e+002	-1.380000e+000
2.792007e+002	-1.382625e+000
2.789078e+002	-1.383375e+000
2.786148e+002	-1.386000e+000
2.783218e+002	-1.383375e+000
2.780289e+002	-1.387500e+000
2.777359e+002	-1.384500e+000
2.774429e+002	-1.388250e+000
2.771500e+002	-1.386000e+000
2.768570e+002	-1.393125e+000
2.765640e+002	-1.390875e+000
2.762710e+002	-1.390875e+000
2.759781e+002	-1.391625e+000
2.756851e+002	-1.394250e+000
2.753921e+002	-1.393125e+000
2.750992e+002	-1.396500e+000
2.748062e+002	-1.397250e+000
2.745132e+002	-1.398000e+000
2.742202e+002	-1.398375e+000
