    nm         	 V
2.000013e+002	-1.992000e+000
1.998060e+002	-1.992000e+000
1.996106e+002	-1.992750e+000
1.994153e+002	-1.995000e+000
1.992200e+002	-1.995750e+000
1.990247e+002	-1.997250e+000
1.988294e+002	-1.995750e+000
1.986341e+002	-2.000250e+000
1.984388e+002	-1.999125e+000
1.982434e+002	-2.001750e+000
1.980481e+002	-2.003250e+000
1.978528e+002	-2.004375e+000
1.976575e+002	-2.005125e+000
1.974622e+002	-2.006625e+000
1.972669e+002	-2.008125e+000
1.970716e+002	-2.008125e+000
1.968762e+002	-2.012625e+000
1.966809e+002	-2.011875e+000
1.964856e+002	-2.011875e+000
1.962903e+002	-2.015250e+000
1.960950e+002	-2.016000e+000
1.958997e+002	-2.018250e+000
1.957044e+002	-2.018625e+000
1.955090e+002	-2.022750e+000
1.953137e+002	-2.021625e+000
1.951184e+002	-2.024625e+000
1.949231e+002	-2.025000e+000
1.947278e+002	-2.025750e+000
1.945325e+002	-2.028375e+000
1.943372e+002	-2.029500e+000
1.941418e+002	-2.030625e+000
1.939465e+002	-2.032875e+000
1.937512e+002	-2.034750e+000
1.935559e+002	-2.035500e+000
1.933606e+002	-2.037375e+000
1.931653e+002	-2.038875e+000
1.929700e+002	-2.041125e+000
1.927746e+002	-2.040750e+000
1.925793e+002	-2.044125e+000
1.923840e+002	-2.045250e+000
1.921887e+002	-2.045625e+000
1.919934e+002	-2.048250e+000
1.917981e+002	-2.049750e+000
1.916028e+002	-2.051625e+000
1.914075e+002	-2.052375e+000
1.912121e+002	-2.055750e+000
1.910168e+002	-2.055000e+000
1.908215e+002	-2.057625e+000
1.906262e+002	-2.058750e+000
1.904309e+002	-2.060625e+000
1.902356e+002	-2.061375e+000
1.900403e+002	-2.063625e+000
1.898449e+002	-2.065500e+000
1.896496e+002	-2.066250e+000
1.894543e+002	-2.068500e+000
1.892590e+002	-2.070375e+000
1.890637e+002	-2.071500e+000
1.888684e+002	-2.071875e+000
1.886731e+002	-2.074125e+000
1.884777e+002	-2.076000e+000
1.882824e+002	-2.077125e+000
1.880871e+002	-2.080125e+000
1.878918e+002	-2.080500e+000
1.876965e+002	-2.082375e+000
1.875012e+002	-2.084250e+000
1.873059e+002	-2.086125e+000
1.871105e+002	-2.086875e+000
1.869152e+002	-2.088750e+000
1.867199e+002	-2.090250e+000
1.865246e+002	-2.092500e+000
1.863293e+002	-2.092875e+000
1.861340e+002	-2.094750e+000
1.859387e+002	-2.097000e+000
1.857433e+002	-2.098875e+000
1.855480e+002	-2.099625e+000
1.853527e+002	-2.102625e+000
1.851574e+002	-2.101875e+000
1.849621e+002	-2.104875e+000
1.847668e+002	-2.104875e+000
1.845715e+002	-2.108250e+000
1.843761e+002	-2.109000e+000
1.841808e+002	-2.110500e+000
1.839855e+002	-2.112750e+000
1.837902e+002	-2.114250e+000
1.835949e+002	-2.116875e+000
1.833996e+002	-2.117625e+000
1.832043e+002	-2.118375e+000
1.830090e+002	-2.121375e+000
1.828136e+002	-2.121000e+000
1.826183e+002	-2.124375e+000
1.824230e+002	-2.125500e+000
1.822277e+002	-2.127375e+000
1.820324e+002	-2.127750e+000
1.818371e+002	-2.131125e+000
1.816418e+002	-2.132250e+000
1.814464e+002	-2.132625e+000
1.812511e+002	-2.135250e+000
1.810558e+002	-2.136375e+000
1.808605e+002	-2.137875e+000
1.806652e+002	-2.139375e+000
1.804699e+002	-2.142375e+000
1.802746e+002	-2.143125e+000
1.800792e+002	-2.145750e+000
1.798839e+002	-2.146500e+000
1.796886e+002	-2.146500e+000
1.794933e+002	-2.149875e+000
1.792980e+002	-2.150250e+000
1.791027e+002	-2.151375e+000
1.789074e+002	-2.155125e+000
1.787120e+002	-2.154750e+000
1.785167e+002	-2.157750e+000
1.783214e+002	-2.158125e+000
1.781261e+002	-2.161125e+000
1.779308e+002	-2.161125e+000
1.777355e+002	-2.164125e+000
1.775402e+002	-2.164500e+000
1.773448e+002	-2.165250e+000
1.771495e+002	-2.167875e+000
1.769542e+002	-2.169375e+000
1.767589e+002	-2.170500e+000
1.765636e+002	-2.173125e+000
1.763683e+002	-2.173875e+000
1.761730e+002	-2.176125e+000
1.759776e+002	-2.178375e+000
1.757823e+002	-2.178750e+000
1.755870e+002	-2.180250e+000
1.753917e+002	-2.181750e+000
1.751964e+002	-2.184000e+000
1.750011e+002	-2.184750e+000
1.748058e+002	-2.187750e+000
1.746104e+002	-2.189250e+000
1.744151e+002	-2.189625e+000
1.742198e+002	-2.191500e+000
1.740245e+002	-2.193375e+000
1.738292e+002	-2.194125e+000
1.736339e+002	-2.196000e+000
1.734386e+002	-2.197125e+000
1.732433e+002	-2.198625e+000
1.730479e+002	-2.202750e+000
1.728526e+002	-2.202750e+000
1.726573e+002	-2.204625e+000
1.724620e+002	-2.206125e+000
1.722667e+002	-2.207625e+000
1.720714e+002	-2.208375e+000
1.718761e+002	-2.210625e+000
1.716807e+002	-2.212500e+000
1.714854e+002	-2.213625e+000
1.712901e+002	-2.214750e+000
1.710948e+002	-2.217375e+000
1.708995e+002	-2.218500e+000
1.707042e+002	-2.219625e+000
1.705089e+002	-2.221875e+000
1.703135e+002	-2.223750e+000
1.701182e+002	-2.225250e+000
1.699229e+002	-2.226750e+000
1.697276e+002	-2.227500e+000
1.695323e+002	-2.229750e+000
1.693370e+002	-2.232000e+000
1.691417e+002	-2.233875e+000
1.689463e+002	-2.234625e+000
1.687510e+002	-2.236125e+000
1.685557e+002	-2.238000e+000
1.683604e+002	-2.239125e+000
1.681651e+002	-2.241000e+000
1.679698e+002	-2.241375e+000
1.677745e+002	-2.243625e+000
1.675791e+002	-2.245125e+000
1.673838e+002	-2.245875e+000
1.671885e+002	-2.248875e+000
1.669932e+002	-2.251125e+000
1.667979e+002	-2.251875e+000
1.666026e+002	-2.253750e+000
1.664073e+002	-2.254875e+000
1.662119e+002	-2.256375e+000
1.660166e+002	-2.258625e+000
1.658213e+002	-2.259750e+000
1.656260e+002	-2.262375e+000
1.654307e+002	-2.262375e+000
1.652354e+002	-2.265375e+000
1.650401e+002	-2.266125e+000
1.648447e+002	-2.269125e+000
1.646494e+002	-2.271750e+000
1.644541e+002	-2.270625e+000
1.642588e+002	-2.272500e+000
1.640635e+002	-2.273250e+000
1.638682e+002	-2.276625e+000
1.636729e+002	-2.277375e+000
1.634776e+002	-2.279625e+000
1.632822e+002	-2.280375e+000
1.630869e+002	-2.281500e+000
1.628916e+002	-2.283750e+000
1.626963e+002	-2.285250e+000
1.625010e+002	-2.288250e+000
1.623057e+002	-2.287875e+000
1.621104e+002	-2.290500e+000
1.619150e+002	-2.290875e+000
1.617197e+002	-2.293500e+000
1.615244e+002	-2.295375e+000
1.613291e+002	-2.295375e+000
1.611338e+002	-2.298750e+000
1.609385e+002	-2.299500e+000
1.607432e+002	-2.300625e+000
1.605478e+002	-2.303250e+000
