    nm         	 V
2.000013e+002	-8.250000e-001
1.998060e+002	-8.268750e-001
1.996106e+002	-8.268750e-001
1.994153e+002	-8.283750e-001
1.992200e+002	-8.302500e-001
1.990247e+002	-8.306250e-001
1.988294e+002	-8.313750e-001
1.986341e+002	-8.336250e-001
1.984388e+002	-8.336250e-001
1.982434e+002	-8.366250e-001
1.980481e+002	-8.392500e-001
1.978528e+002	-8.381250e-001
1.976575e+002	-8.403750e-001
1.974622e+002	-8.430000e-001
1.972669e+002	-8.437500e-001
1.970716e+002	-8.463750e-001
1.968762e+002	-8.475000e-001
1.966809e+002	-8.493750e-001
1.964856e+002	-8.497500e-001
1.962903e+002	-8.523750e-001
1.960950e+002	-8.531250e-001
1.958997e+002	-8.550000e-001
1.957044e+002	-8.565000e-001
1.955090e+002	-8.583750e-001
1.953137e+002	-8.591250e-001
1.951184e+002	-8.617500e-001
1.949231e+002	-8.625000e-001
1.947278e+002	-8.647500e-001
1.945325e+002	-8.647500e-001
1.943372e+002	-8.662500e-001
1.941418e+002	-8.696250e-001
1.939465e+002	-8.700000e-001
1.937512e+002	-8.718750e-001
1.935559e+002	-8.726250e-001
1.933606e+002	-8.748750e-001
1.931653e+002	-8.763750e-001
1.929700e+002	-8.767500e-001
1.927746e+002	-8.801250e-001
1.925793e+002	-8.808750e-001
1.923840e+002	-8.831250e-001
1.921887e+002	-8.850000e-001
1.919934e+002	-8.872500e-001
1.917981e+002	-8.872500e-001
1.916028e+002	-8.898750e-001
1.914075e+002	-8.917500e-001
1.912121e+002	-8.940000e-001
1.910168e+002	-8.943750e-001
1.908215e+002	-8.966250e-001
1.906262e+002	-8.977500e-001
1.904309e+002	-8.988750e-001
1.902356e+002	-9.011250e-001
1.900403e+002	-9.030000e-001
1.898449e+002	-9.045000e-001
1.896496e+002	-9.056250e-001
1.894543e+002	-9.063750e-001
1.892590e+002	-9.090000e-001
1.890637e+002	-9.105000e-001
1.888684e+002	-9.123750e-001
1.886731e+002	-9.135000e-001
1.884777e+002	-9.157500e-001
1.882824e+002	-9.150000e-001
1.880871e+002	-9.187500e-001
1.878918e+002	-9.195000e-001
1.876965e+002	-9.210000e-001
1.875012e+002	-9.225000e-001
1.873059e+002	-9.255000e-001
1.871105e+002	-9.270000e-001
1.869152e+002	-9.270000e-001
1.867199e+002	-9.300000e-001
1.865246e+002	-9.322500e-001
1.863293e+002	-9.330000e-001
1.861340e+002	-9.345000e-001
1.859387e+002	-9.367500e-001
1.857433e+002	-9.386250e-001
1.855480e+002	-9.393750e-001
1.853527e+002	-9.420000e-001
1.851574e+002	-9.423750e-001
1.849621e+002	-9.442500e-001
1.847668e+002	-9.468750e-001
1.845715e+002	-9.483750e-001
1.843761e+002	-9.483750e-001
1.841808e+002	-9.517500e-001
1.839855e+002	-9.528750e-001
1.837902e+002	-9.543750e-001
1.835949e+002	-9.555000e-001
1.833996e+002	-9.581250e-001
1.832043e+002	-9.585000e-001
1.830090e+002	-9.596250e-001
1.828136e+002	-9.618750e-001
1.826183e+002	-9.637500e-001
1.824230e+002	-9.648750e-001
1.822277e+002	-9.663750e-001
1.820324e+002	-9.682500e-001
1.818371e+002	-9.705000e-001
1.816418e+002	-9.705000e-001
1.814464e+002	-9.723750e-001
1.812511e+002	-9.738750e-001
1.810558e+002	-9.768750e-001
1.808605e+002	-9.768750e-001
1.806652e+002	-9.791250e-001
1.804699e+002	-9.802500e-001
1.802746e+002	-9.836250e-001
1.800792e+002	-9.840000e-001
1.798839e+002	-9.858750e-001
1.796886e+002	-9.870000e-001
1.794933e+002	-9.892500e-001
1.792980e+002	-9.896250e-001
1.791027e+002	-9.915000e-001
1.789074e+002	-9.930000e-001
1.787120e+002	-9.956250e-001
1.785167e+002	-9.963750e-001
1.783214e+002	-9.982500e-001
1.781261e+002	-9.997500e-001
1.779308e+002	-1.001625e+000
1.777355e+002	-1.002750e+000
1.775402e+002	-1.005000e+000
1.773448e+002	-1.007625e+000
1.771495e+002	-1.009125e+000
1.769542e+002	-1.010250e+000
1.767589e+002	-1.012125e+000
1.765636e+002	-1.014000e+000
1.763683e+002	-1.015875e+000
1.761730e+002	-1.017000e+000
1.759776e+002	-1.018125e+000
1.757823e+002	-1.020000e+000
1.755870e+002	-1.021875e+000
1.753917e+002	-1.023000e+000
1.751964e+002	-1.026000e+000
1.750011e+002	-1.026375e+000
1.748058e+002	-1.028625e+000
1.746104e+002	-1.030125e+000
1.744151e+002	-1.031625e+000
1.742198e+002	-1.033875e+000
1.740245e+002	-1.034250e+000
1.738292e+002	-1.036875e+000
1.736339e+002	-1.038375e+000
1.734386e+002	-1.039500e+000
1.732433e+002	-1.041375e+000
1.730479e+002	-1.042500e+000
1.728526e+002	-1.044375e+000
1.726573e+002	-1.045500e+000
1.724620e+002	-1.047750e+000
1.722667e+002	-1.049250e+000
1.720714e+002	-1.051125e+000
1.718761e+002	-1.052250e+000
1.716807e+002	-1.053750e+000
1.714854e+002	-1.057125e+000
1.712901e+002	-1.058250e+000
1.710948e+002	-1.059750e+000
1.708995e+002	-1.061625e+000
1.707042e+002	-1.064250e+000
1.705089e+002	-1.065000e+000
