    nm         	 V
9.951235e+001	-1.104000e+000
9.941469e+001	-1.107000e+000
9.931703e+001	-1.109250e+000
9.921938e+001	-1.110750e+000
9.912172e+001	-1.113375e+000
9.902406e+001	-1.115625e+000
9.892641e+001	-1.116750e+000
9.882875e+001	-1.116375e+000
9.873109e+001	-1.118250e+000
9.863344e+001	-1.120500e+000
9.853578e+001	-1.123875e+000
9.843812e+001	-1.125375e+000
9.834046e+001	-1.124250e+000
9.824281e+001	-1.124625e+000
9.814515e+001	-1.128750e+000
9.804749e+001	-1.131375e+000
9.794984e+001	-1.133250e+000
9.785218e+001	-1.135125e+000
9.775452e+001	-1.136250e+000
9.765687e+001	-1.134375e+000
9.755921e+001	-1.136625e+000
9.746155e+001	-1.141125e+000
9.736389e+001	-1.143000e+000
9.726624e+001	-1.144500e+000
9.716858e+001	-1.145625e+000
9.707092e+001	-1.145625e+000
9.697327e+001	-1.148625e+000
9.687561e+001	-1.152000e+000
9.677795e+001	-1.153875e+000
9.668030e+001	-1.153875e+000
9.658264e+001	-1.152750e+000
9.648498e+001	-1.154625e+000
9.638732e+001	-1.158750e+000
9.628967e+001	-1.163250e+000
9.619201e+001	-1.163625e+000
9.609435e+001	-1.164750e+000
9.599670e+001	-1.164375e+000
9.589904e+001	-1.164375e+000
9.580138e+001	-1.168875e+000
9.570373e+001	-1.172250e+000
9.560607e+001	-1.172625e+000
9.550841e+001	-1.173375e+000
9.541075e+001	-1.175625e+000
9.531310e+001	-1.177125e+000
9.521544e+001	-1.178625e+000
9.511778e+001	-1.182000e+000
9.502013e+001	-1.184250e+000
9.492247e+001	-1.184625e+000
9.482481e+001	-1.183500e+000
9.472716e+001	-1.186125e+000
9.462950e+001	-1.191000e+000
9.453184e+001	-1.192875e+000
9.443418e+001	-1.191375e+000
9.433653e+001	-1.192500e+000
9.423887e+001	-1.196250e+000
9.414121e+001	-1.198875e+000
9.404356e+001	-1.201125e+000
9.394590e+001	-1.201125e+000
9.384824e+001	-1.200000e+000
9.375059e+001	-1.202250e+000
9.365293e+001	-1.209000e+000
9.355527e+001	-1.210875e+000
9.345761e+001	-1.210125e+000
9.335996e+001	-1.210500e+000
9.326230e+001	-1.212375e+000
9.316464e+001	-1.213875e+000
9.306699e+001	-1.217250e+000
9.296933e+001	-1.220625e+000
9.287167e+001	-1.220250e+000
9.277402e+001	-1.220625e+000
9.267636e+001	-1.222125e+000
9.257870e+001	-1.225500e+000
9.248105e+001	-1.229250e+000
9.238339e+001	-1.230375e+000
9.228573e+001	-1.230375e+000
9.218807e+001	-1.230750e+000
9.209042e+001	-1.234125e+000
9.199276e+001	-1.236750e+000
9.189510e+001	-1.237875e+000
9.179745e+001	-1.239000e+000
9.169979e+001	-1.241250e+000
9.160213e+001	-1.244625e+000
9.150448e+001	-1.246500e+000
9.140682e+001	-1.246500e+000
9.130916e+001	-1.247625e+000
9.121150e+001	-1.249875e+000
9.111385e+001	-1.251000e+000
9.101619e+001	-1.253250e+000
9.091853e+001	-1.257375e+000
9.082088e+001	-1.258875e+000
9.072322e+001	-1.259250e+000
9.062556e+001	-1.259625e+000
9.052791e+001	-1.261875e+000
9.043025e+001	-1.264875e+000
9.033259e+001	-1.267500e+000
9.023493e+001	-1.267125e+000
9.013728e+001	-1.268250e+000
9.003962e+001	-1.270875e+000
8.994196e+001	-1.273500e+000
8.984431e+001	-1.274625e+000
8.974665e+001	-1.276500e+000
8.964899e+001	-1.277250e+000
8.955134e+001	-1.279500e+000
8.945368e+001	-1.281750e+000
8.935602e+001	-1.282125e+000
8.925836e+001	-1.283250e+000
8.916071e+001	-1.287375e+000
8.906305e+001	-1.288875e+000
8.896539e+001	-1.289625e+000
8.886774e+001	-1.291875e+000
8.877008e+001	-1.293375e+000
8.867242e+001	-1.293750e+000
8.857477e+001	-1.297500e+000
8.847711e+001	-1.300125e+000
8.837945e+001	-1.298625e+000
8.828179e+001	-1.300875e+000
8.818414e+001	-1.304625e+000
8.808648e+001	-1.305000e+000
8.798882e+001	-1.306875e+000
8.789117e+001	-1.309875e+000
8.779351e+001	-1.311375e+000
8.769585e+001	-1.310625e+000
8.759820e+001	-1.312125e+000
8.750054e+001	-1.315125e+000
8.740288e+001	-1.318875e+000
8.730522e+001	-1.321125e+000
8.720757e+001	-1.320375e+000
8.710991e+001	-1.320375e+000
8.701225e+001	-1.323375e+000
8.691460e+001	-1.324875e+000
8.681694e+001	-1.328625e+000
8.671928e+001	-1.331625e+000
8.662163e+001	-1.330125e+000
8.652397e+001	-1.330500e+000
8.642631e+001	-1.333875e+000
8.632865e+001	-1.336500e+000
8.623100e+001	-1.337625e+000
8.613334e+001	-1.339875e+000
8.603568e+001	-1.341750e+000
8.593803e+001	-1.340625e+000
8.584037e+001	-1.343250e+000
8.574271e+001	-1.347000e+000
8.564506e+001	-1.349250e+000
8.554740e+001	-1.350375e+000
8.544974e+001	-1.349625e+000
8.535208e+001	-1.351875e+000
8.525443e+001	-1.355625e+000
8.515677e+001	-1.357875e+000
8.505911e+001	-1.358250e+000
8.496146e+001	-1.359375e+000
8.486380e+001	-1.360875e+000
8.476614e+001	-1.363125e+000
8.466849e+001	-1.366500e+000
