    nm         	 V
8.867242e+001	-1.143750e+000
8.857477e+001	-1.146375e+000
8.847711e+001	-1.148250e+000
8.837945e+001	-1.149750e+000
8.828179e+001	-1.150500e+000
8.818414e+001	-1.150875e+000
8.808648e+001	-1.152375e+000
8.798882e+001	-1.155750e+000
8.789117e+001	-1.158000e+000
8.779351e+001	-1.158000e+000
8.769585e+001	-1.158375e+000
8.759820e+001	-1.159500e+000
8.750054e+001	-1.162500e+000
8.740288e+001	-1.166250e+000
8.730522e+001	-1.167000e+000
8.720757e+001	-1.165875e+000
8.710991e+001	-1.167750e+000
8.701225e+001	-1.170000e+000
8.691460e+001	-1.171875e+000
8.681694e+001	-1.173750e+000
8.671928e+001	-1.175625e+000
8.662163e+001	-1.176000e+000
8.652397e+001	-1.177500e+000
8.642631e+001	-1.178625e+000
8.632865e+001	-1.181250e+000
8.623100e+001	-1.183875e+000
8.613334e+001	-1.185375e+000
8.603568e+001	-1.185750e+000
8.593803e+001	-1.186875e+000
8.584037e+001	-1.188375e+000
8.574271e+001	-1.190250e+000
8.564506e+001	-1.192125e+000
8.554740e+001	-1.194375e+000
8.544974e+001	-1.195500e+000
8.535208e+001	-1.196625e+000
8.525443e+001	-1.198500e+000
8.515677e+001	-1.199250e+000
8.505911e+001	-1.201500e+000
8.496146e+001	-1.204125e+000
8.486380e+001	-1.205625e+000
8.476614e+001	-1.206000e+000
8.466849e+001	-1.207500e+000
8.457083e+001	-1.208625e+000
8.447317e+001	-1.210500e+000
8.437551e+001	-1.213500e+000
8.427786e+001	-1.215750e+000
8.418020e+001	-1.216875e+000
8.408254e+001	-1.216500e+000
8.398489e+001	-1.217250e+000
8.388723e+001	-1.220250e+000
8.378957e+001	-1.223250e+000
8.369192e+001	-1.224750e+000
8.359426e+001	-1.224750e+000
8.349660e+001	-1.227000e+000
8.339894e+001	-1.228875e+000
8.330129e+001	-1.230375e+000
8.320363e+001	-1.232625e+000
8.310597e+001	-1.232625e+000
8.300832e+001	-1.233000e+000
8.291066e+001	-1.236000e+000
8.281300e+001	-1.239375e+000
8.271535e+001	-1.241250e+000
8.261769e+001	-1.241625e+000
8.252003e+001	-1.242375e+000
8.242237e+001	-1.243875e+000
8.232472e+001	-1.246125e+000
8.222706e+001	-1.248750e+000
8.212940e+001	-1.250250e+000
8.203175e+001	-1.250625e+000
8.193409e+001	-1.250625e+000
8.183643e+001	-1.252500e+000
8.173878e+001	-1.256625e+000
8.164112e+001	-1.259250e+000
8.154346e+001	-1.259250e+000
8.144580e+001	-1.259625e+000
8.134815e+001	-1.260375e+000
8.125049e+001	-1.262250e+000
8.115283e+001	-1.265250e+000
8.105518e+001	-1.269000e+000
8.095752e+001	-1.269750e+000
8.085986e+001	-1.269750e+000
8.076221e+001	-1.271625e+000
8.066455e+001	-1.272375e+000
8.056689e+001	-1.274250e+000
8.046923e+001	-1.277250e+000
8.037158e+001	-1.279125e+000
8.027392e+001	-1.279875e+000
8.017626e+001	-1.281750e+000
8.007861e+001	-1.282875e+000
7.998095e+001	-1.285125e+000
7.988329e+001	-1.287750e+000
7.978564e+001	-1.288125e+000
7.968798e+001	-1.288125e+000
7.959032e+001	-1.289625e+000
7.949266e+001	-1.292625e+000
7.939501e+001	-1.295250e+000
7.929735e+001	-1.297500e+000
7.919969e+001	-1.299375e+000
7.910204e+001	-1.298250e+000
7.900438e+001	-1.299750e+000
7.890672e+001	-1.302750e+000
7.880907e+001	-1.305000e+000
7.871141e+001	-1.305375e+000
7.861375e+001	-1.306875e+000
7.851609e+001	-1.309125e+000
7.841844e+001	-1.310250e+000
7.832078e+001	-1.311000e+000
7.822312e+001	-1.314000e+000
7.812547e+001	-1.316250e+000
7.802781e+001	-1.316250e+000
7.793015e+001	-1.317750e+000
7.783250e+001	-1.320375e+000
7.773484e+001	-1.321500e+000
7.763718e+001	-1.322250e+000
7.753953e+001	-1.324500e+000
7.744187e+001	-1.327125e+000
7.734421e+001	-1.328250e+000
7.724655e+001	-1.330125e+000
7.714890e+001	-1.331625e+000
7.705124e+001	-1.331625e+000
7.695358e+001	-1.333125e+000
7.685593e+001	-1.335000e+000
7.675827e+001	-1.338375e+000
7.666061e+001	-1.340625e+000
7.656296e+001	-1.341375e+000
7.646530e+001	-1.341000e+000
7.636764e+001	-1.342500e+000
7.626998e+001	-1.344750e+000
7.617233e+001	-1.346625e+000
7.607467e+001	-1.349250e+000
7.597701e+001	-1.351125e+000
7.587936e+001	-1.350750e+000
7.578170e+001	-1.351500e+000
7.568404e+001	-1.354875e+000
7.558639e+001	-1.357500e+000
7.548873e+001	-1.357875e+000
7.539107e+001	-1.359375e+000
7.529341e+001	-1.360875e+000
7.519576e+001	-1.362000e+000
7.509810e+001	-1.363125e+000
7.500044e+001	-1.365000e+000
7.490279e+001	-1.368000e+000
7.480513e+001	-1.368375e+000
7.470747e+001	-1.370250e+000
7.460982e+001	-1.372500e+000
7.451216e+001	-1.374000e+000
7.441450e+001	-1.374750e+000
7.431684e+001	-1.375875e+000
7.421919e+001	-1.378500e+000
7.412153e+001	-1.379625e+000
7.402387e+001	-1.381125e+000
7.392622e+001	-1.383375e+000
7.382856e+001	-1.385250e+000
7.373090e+001	-1.386375e+000
7.363325e+001	-1.387500e+000
7.353559e+001	-1.389750e+000
7.343793e+001	-1.391625e+000
7.334027e+001	-1.390875e+000
7.324262e+001	-1.393500e+000
7.314496e+001	-1.395375e+000
7.304730e+001	-1.397625e+000
7.294965e+001	-1.399500e+000
7.285199e+001	-1.401000e+000
7.275433e+001	-1.401750e+000
7.265668e+001	-1.402500e+000
7.255902e+001	-1.404000e+000
7.246136e+001	-1.406250e+000
7.236370e+001	-1.409250e+000
7.226605e+001	-1.410750e+000
7.216839e+001	-1.412250e+000
7.207073e+001	-1.414125e+000
7.197308e+001	-1.413750e+000
7.187542e+001	-1.414125e+000
7.177776e+001	-1.416750e+000
7.168011e+001	-1.420500e+000
7.158245e+001	-1.422000e+000
7.148479e+001	-1.423125e+000
7.138713e+001	-1.423125e+000
7.128948e+001	-1.424625e+000
7.119182e+001	-1.426125e+000
7.109416e+001	-1.429125e+000
7.099651e+001	-1.432125e+000
7.089885e+001	-1.431750e+000
7.080119e+001	-1.432125e+000
7.070354e+001	-1.434000e+000
7.060588e+001	-1.436625e+000
7.050822e+001	-1.437750e+000
7.041056e+001	-1.440750e+000
7.031291e+001	-1.441875e+000
7.021525e+001	-1.442250e+000
