    nm         	 V
9.843812e+001	-1.080750e+000
9.834046e+001	-1.086000e+000
9.824281e+001	-1.088250e+000
9.814515e+001	-1.085250e+000
9.804749e+001	-1.084875e+000
9.794984e+001	-1.090125e+000
9.785218e+001	-1.092375e+000
9.775452e+001	-1.091250e+000
9.765687e+001	-1.094625e+000
9.755921e+001	-1.093875e+000
9.746155e+001	-1.095750e+000
9.736389e+001	-1.098000e+000
9.726624e+001	-1.099875e+000
9.716858e+001	-1.099500e+000
9.707092e+001	-1.100250e+000
9.697327e+001	-1.105125e+000
9.687561e+001	-1.105500e+000
9.677795e+001	-1.106625e+000
9.668030e+001	-1.106625e+000
9.658264e+001	-1.107750e+000
9.648498e+001	-1.110375e+000
9.638732e+001	-1.111875e+000
9.628967e+001	-1.113375e+000
9.619201e+001	-1.117125e+000
9.609435e+001	-1.117500e+000
9.599670e+001	-1.115250e+000
9.589904e+001	-1.119000e+000
9.580138e+001	-1.121250e+000
9.570373e+001	-1.121625e+000
9.560607e+001	-1.125000e+000
9.550841e+001	-1.126125e+000
9.541075e+001	-1.123875e+000
9.531310e+001	-1.126125e+000
9.521544e+001	-1.131750e+000
9.511778e+001	-1.132125e+000
9.502013e+001	-1.133625e+000
9.492247e+001	-1.134375e+000
9.482481e+001	-1.135125e+000
9.472716e+001	-1.137000e+000
9.462950e+001	-1.137750e+000
9.453184e+001	-1.140000e+000
9.443418e+001	-1.143750e+000
9.433653e+001	-1.145250e+000
9.423887e+001	-1.142625e+000
9.414121e+001	-1.145250e+000
9.404356e+001	-1.148625e+000
9.394590e+001	-1.151625e+000
9.384824e+001	-1.152375e+000
9.375059e+001	-1.154250e+000
9.365293e+001	-1.153500e+000
9.355527e+001	-1.153500e+000
9.345761e+001	-1.156125e+000
9.335996e+001	-1.161000e+000
9.326230e+001	-1.161750e+000
9.316464e+001	-1.162875e+000
9.306699e+001	-1.162875e+000
9.296933e+001	-1.167000e+000
9.287167e+001	-1.166625e+000
9.277402e+001	-1.167000e+000
9.267636e+001	-1.169625e+000
9.257870e+001	-1.172250e+000
9.248105e+001	-1.172250e+000
9.238339e+001	-1.174875e+000
9.228573e+001	-1.180875e+000
9.218807e+001	-1.179750e+000
9.209042e+001	-1.177125e+000
9.199276e+001	-1.184625e+000
9.189510e+001	-1.184250e+000
9.179745e+001	-1.183875e+000
9.169979e+001	-1.186875e+000
9.160213e+001	-1.190625e+000
9.150448e+001	-1.190250e+000
9.140682e+001	-1.189125e+000
9.130916e+001	-1.192125e+000
9.121150e+001	-1.196250e+000
9.111385e+001	-1.199625e+000
9.101619e+001	-1.200750e+000
9.091853e+001	-1.197000e+000
9.082088e+001	-1.200000e+000
9.072322e+001	-1.200750e+000
9.062556e+001	-1.203750e+000
9.052791e+001	-1.209750e+000
9.043025e+001	-1.210125e+000
9.033259e+001	-1.208250e+000
9.023493e+001	-1.210125e+000
9.013728e+001	-1.212000e+000
9.003962e+001	-1.213125e+000
8.994196e+001	-1.216500e+000
8.984431e+001	-1.219500e+000
8.974665e+001	-1.217250e+000
8.964899e+001	-1.216875e+000
8.955134e+001	-1.220250e+000
8.945368e+001	-1.224375e+000
