    nm         	 V
2.000013e+002	-1.058625e+000
1.998060e+002	-1.059000e+000
1.996106e+002	-1.059750e+000
1.994153e+002	-1.060875e+000
1.992200e+002	-1.062000e+000
1.990247e+002	-1.062375e+000
1.988294e+002	-1.063125e+000
1.986341e+002	-1.063875e+000
1.984388e+002	-1.065375e+000
1.982434e+002	-1.065375e+000
1.980481e+002	-1.066125e+000
1.978528e+002	-1.068000e+000
1.976575e+002	-1.067625e+000
1.974622e+002	-1.068750e+000
1.972669e+002	-1.070250e+000
1.970716e+002	-1.070625e+000
1.968762e+002	-1.071375e+000
1.966809e+002	-1.072875e+000
1.964856e+002	-1.073625e+000
1.962903e+002	-1.074750e+000
1.960950e+002	-1.075875e+000
1.958997e+002	-1.075875e+000
1.957044e+002	-1.076625e+000
1.955090e+002	-1.077375e+000
1.953137e+002	-1.078500e+000
1.951184e+002	-1.079625e+000
1.949231e+002	-1.081500e+000
1.947278e+002	-1.081875e+000
1.945325e+002	-1.082250e+000
1.943372e+002	-1.083375e+000
1.941418e+002	-1.084125e+000
1.939465e+002	-1.085250e+000
1.937512e+002	-1.086750e+000
1.935559e+002	-1.086750e+000
1.933606e+002	-1.087875e+000
1.931653e+002	-1.088625e+000
1.929700e+002	-1.090125e+000
1.927746e+002	-1.091250e+000
1.925793e+002	-1.092375e+000
1.923840e+002	-1.093125e+000
1.921887e+002	-1.093500e+000
1.919934e+002	-1.094250e+000
1.917981e+002	-1.095375e+000
1.916028e+002	-1.096500e+000
1.914075e+002	-1.098000e+000
1.912121e+002	-1.098375e+000
1.910168e+002	-1.099500e+000
1.908215e+002	-1.101000e+000
1.906262e+002	-1.102125e+000
1.904309e+002	-1.102125e+000
1.902356e+002	-1.103625e+000
1.900403e+002	-1.104750e+000
1.898449e+002	-1.105500e+000
1.896496e+002	-1.106250e+000
1.894543e+002	-1.107750e+000
1.892590e+002	-1.108500e+000
1.890637e+002	-1.109250e+000
1.888684e+002	-1.110750e+000
1.886731e+002	-1.111500e+000
1.884777e+002	-1.111500e+000
1.882824e+002	-1.113000e+000
1.880871e+002	-1.114125e+000
1.878918e+002	-1.115625e+000
1.876965e+002	-1.116750e+000
1.875012e+002	-1.116750e+000
1.873059e+002	-1.118250e+000
1.871105e+002	-1.120125e+000
1.869152e+002	-1.120875e+000
1.867199e+002	-1.122000e+000
1.865246e+002	-1.122375e+000
1.863293e+002	-1.123125e+000
1.861340e+002	-1.123500e+000
1.859387e+002	-1.125375e+000
1.857433e+002	-1.127250e+000
1.855480e+002	-1.127625e+000
1.853527e+002	-1.128750e+000
1.851574e+002	-1.129125e+000
1.849621e+002	-1.130250e+000
1.847668e+002	-1.131375e+000
1.845715e+002	-1.132875e+000
1.843761e+002	-1.134000e+000
1.841808e+002	-1.134375e+000
1.839855e+002	-1.135500e+000
1.837902e+002	-1.136250e+000
1.835949e+002	-1.138125e+000
1.833996e+002	-1.138500e+000
1.832043e+002	-1.140000e+000
1.830090e+002	-1.140375e+000
1.828136e+002	-1.141125e+000
1.826183e+002	-1.141875e+000
1.824230e+002	-1.144125e+000
1.822277e+002	-1.144500e+000
1.820324e+002	-1.145250e+000
1.818371e+002	-1.146375e+000
1.816418e+002	-1.147500e+000
1.814464e+002	-1.148625e+000
1.812511e+002	-1.150125e+000
1.810558e+002	-1.150500e+000
1.808605e+002	-1.150875e+000
1.806652e+002	-1.151625e+000
1.804699e+002	-1.153125e+000
1.802746e+002	-1.154250e+000
1.800792e+002	-1.156125e+000
1.798839e+002	-1.156875e+000
1.796886e+002	-1.157625e+000
1.794933e+002	-1.158375e+000
1.792980e+002	-1.159125e+000
1.791027e+002	-1.160250e+000
1.789074e+002	-1.162125e+000
1.787120e+002	-1.163625e+000
1.785167e+002	-1.164000e+000
1.783214e+002	-1.164000e+000
1.781261e+002	-1.165500e+000
1.779308e+002	-1.167000e+000
1.777355e+002	-1.168500e+000
1.775402e+002	-1.169625e+000
1.773448e+002	-1.170375e+000
1.771495e+002	-1.170000e+000
1.769542e+002	-1.172250e+000
1.767589e+002	-1.173375e+000
1.765636e+002	-1.174500e+000
1.763683e+002	-1.175625e+000
1.761730e+002	-1.176000e+000
1.759776e+002	-1.176375e+000
1.757823e+002	-1.178625e+000
1.755870e+002	-1.180125e+000
1.753917e+002	-1.180875e+000
1.751964e+002	-1.181250e+000
