    nm         	 V
9.755921e+001	-1.101375e+000
9.746155e+001	-1.103625e+000
9.736389e+001	-1.106625e+000
9.726624e+001	-1.111875e+000
9.716858e+001	-1.111125e+000
9.707092e+001	-1.108875e+000
9.697327e+001	-1.111500e+000
9.687561e+001	-1.114875e+000
9.677795e+001	-1.116750e+000
9.668030e+001	-1.119750e+000
9.658264e+001	-1.119750e+000
9.648498e+001	-1.119750e+000
9.638732e+001	-1.122750e+000
9.628967e+001	-1.125750e+000
9.619201e+001	-1.125750e+000
9.609435e+001	-1.126500e+000
9.599670e+001	-1.130625e+000
9.589904e+001	-1.131000e+000
9.580138e+001	-1.133625e+000
9.570373e+001	-1.135875e+000
9.560607e+001	-1.135875e+000
9.550841e+001	-1.138125e+000
9.541075e+001	-1.138875e+000
9.531310e+001	-1.138500e+000
9.521544e+001	-1.141500e+000
9.511778e+001	-1.147875e+000
9.502013e+001	-1.149000e+000
9.492247e+001	-1.148250e+000
9.482481e+001	-1.150875e+000
9.472716e+001	-1.150875e+000
9.462950e+001	-1.151625e+000
9.453184e+001	-1.155000e+000
9.443418e+001	-1.156875e+000
9.433653e+001	-1.159500e+000
9.423887e+001	-1.162125e+000
9.414121e+001	-1.162875e+000
9.404356e+001	-1.162875e+000
9.394590e+001	-1.165125e+000
9.384824e+001	-1.166625e+000
9.375059e+001	-1.168875e+000
9.365293e+001	-1.172625e+000
9.355527e+001	-1.172625e+000
9.345761e+001	-1.171125e+000
9.335996e+001	-1.173000e+000
9.326230e+001	-1.176375e+000
9.316464e+001	-1.181250e+000
9.306699e+001	-1.183125e+000
9.296933e+001	-1.182375e+000
9.287167e+001	-1.181625e+000
9.277402e+001	-1.185750e+000
9.267636e+001	-1.188000e+000
9.257870e+001	-1.187625e+000
9.248105e+001	-1.189875e+000
9.238339e+001	-1.193625e+000
9.228573e+001	-1.195125e+000
9.218807e+001	-1.196625e+000
9.209042e+001	-1.195875e+000
9.199276e+001	-1.197000e+000
9.189510e+001	-1.201875e+000
9.179745e+001	-1.203750e+000
9.169979e+001	-1.201875e+000
9.160213e+001	-1.204875e+000
9.150448e+001	-1.209750e+000
9.140682e+001	-1.209750e+000
9.130916e+001	-1.210500e+000
9.121150e+001	-1.212000e+000
9.111385e+001	-1.215375e+000
9.101619e+001	-1.218750e+000
9.091853e+001	-1.218375e+000
9.082088e+001	-1.217625e+000
9.072322e+001	-1.219875e+000
9.062556e+001	-1.224750e+000
9.052791e+001	-1.224750e+000
9.043025e+001	-1.224000e+000
9.033259e+001	-1.227375e+000
9.023493e+001	-1.230750e+000
9.013728e+001	-1.233750e+000
9.003962e+001	-1.234875e+000
8.994196e+001	-1.233000e+000
8.984431e+001	-1.234125e+000
8.974665e+001	-1.236750e+000
8.964899e+001	-1.239375e+000
8.955134e+001	-1.241250e+000
8.945368e+001	-1.243875e+000
8.935602e+001	-1.245750e+000
8.925836e+001	-1.247250e+000
8.916071e+001	-1.248750e+000
8.906305e+001	-1.249500e+000
